Subject,Session,SessionRS
sub-A00062255,ses-VA,ses-DSA
sub-A00062268,ses-VA,ses-DSA
sub-A00062285,ses-VA,ses-DSA
sub-A00062292,ses-VA,ses-DSA
sub-A00062368,ses-VA,ses-DSA
sub-A00062369,ses-VA,ses-CLGA
sub-A00062411,ses-VA,ses-DSA
sub-A00062416,ses-VA,ses-DSA
sub-A00062809,ses-VA,ses-DSA
sub-A00062923,ses-VA,ses-DSA
sub-A00062926,ses-VA,ses-DSA
sub-A00062928,ses-VA,ses-DSA
sub-A00062929,ses-VA,ses-DSA
sub-A00062982,ses-VA,ses-DSA
sub-A00062983,ses-VA,ses-DSA
sub-A00062989,ses-VA,ses-DSA
sub-A00063000,ses-VA,ses-DSA
sub-A00063003,ses-VA,ses-DSA
sub-A00063031,ses-VA,ses-DSA
sub-A00063110,ses-VA,ses-DSA
sub-A00063329,ses-VA,ses-CLGA
sub-A00063383,ses-VA,ses-CLGA
sub-A00063424,ses-VA,ses-DSA
sub-A00063425,ses-VA,ses-DSA
sub-A00063450,ses-VA,ses-DSA
sub-A00063455,ses-VA,ses-DSA
sub-A00063458,ses-VA,ses-DSA
sub-A00063470,ses-VA,ses-DSA
sub-A00063473,ses-VA,ses-DSA
sub-A00063479,ses-VA,ses-DSA
sub-A00063481,ses-VA,ses-DSA
sub-A00064053,ses-VA,ses-DSA
sub-A00064058,ses-VA,ses-DSA
sub-A00064061,ses-VA,ses-DSA
sub-A00064323,ses-VA,ses-DSA
sub-A00064328,ses-VA,ses-DSA
sub-A00064415,ses-VA,ses-DSA
sub-A00064416,ses-VA,ses-DSA
sub-A00064503,ses-VA,ses-CLGA
sub-A00064505,ses-VA,ses-CLGA
sub-A00064596,ses-VA,ses-CLGA
sub-A00065197,ses-VA,ses-DSA
sub-A00065262,ses-VA,ses-CLGA
sub-A00065263,ses-VA,ses-DSA
sub-A00065302,ses-VA,ses-DSA
sub-A00065478,ses-VA,ses-DSA
sub-A00065565,ses-VA,ses-DSA
sub-A00065572,ses-VA,ses-DSA
sub-A00065717,ses-VA,ses-DSA
sub-A00065722,ses-VA,ses-DSA
sub-A00065749,ses-VA,ses-DSA
sub-A00065802,ses-VA,ses-DSA
sub-A00065865,ses-VA,ses-DSA
sub-A00065873,ses-VA,ses-DSA
sub-A00065934,ses-VA,ses-CLGA
sub-A00065941,ses-VA,ses-CLGA
sub-A00065975,ses-VA,ses-CLGA
sub-A00065978,ses-VA,ses-CLGA
sub-A00066013,ses-VA_ALG,ses-ALGA
sub-A00066132,ses-VA_ALG,ses-ALGA
sub-A00066237,ses-VA_ALG,ses-ALGA
sub-A00066245,ses-VA_ALG,ses-ALGA
sub-A00066302,ses-VA,ses-DSA
sub-A00066314,ses-VA,ses-CLGA
sub-A00066396,ses-VA,ses-DSA
sub-A00066419,ses-VA_ALG,ses-ALGA
sub-A00066460,ses-VA,ses-DSA
sub-A00066539,ses-VA,ses-DSA
sub-A00066572,ses-VA,ses-CLGA
sub-A00066581,ses-VA,ses-CLGA
sub-A00066582,ses-VA,ses-CLGA
sub-A00066584,ses-VA,ses-DSA
sub-A00066589,ses-VA,ses-CLGA
sub-A00066782,ses-VA_ALG,ses-ALGA
sub-A00066784,ses-VA,ses-CLGA
sub-A00066788,ses-VA_ALG,ses-ALGA
sub-A00066800,ses-VA,ses-DSA
sub-A00066820,ses-VA,ses-DSA
sub-A00066831,ses-VA,ses-DSA
sub-A00066864,ses-VA_ALG,ses-ALGA
sub-A00066871,ses-VA_ALG,ses-ALGA
sub-A00067062,ses-VA_ALG,ses-ALGA
sub-A00067174,ses-VA_ALG,ses-ALGA
sub-A00073230,ses-VA_ALG,ses-ALGA
sub-A00073283,ses-VA_ALG,ses-ALGA
sub-A00073296,ses-VA,ses-DSA
sub-A00073308,ses-VA,ses-DSA
sub-A00073525,ses-VA_ALG,ses-ALGA
sub-A00073529,ses-VA_ALG,ses-ALGA
sub-A00073539,ses-VA_ALG,ses-ALGA
sub-A00073611,ses-VA_ALG,ses-ALGA
sub-A00073705,ses-VA,ses-DSA
sub-A00073940,ses-VA_ALG,ses-ALGA
sub-A00073942,ses-VA_ALG,ses-ALGA
sub-A00073953,ses-VA_ALG,ses-ALGA
sub-A00074047,ses-VA_ALG,ses-ALGA
sub-A00074095,ses-VA_ALG,ses-ALGA
sub-A00074113,ses-VA_ALG,ses-ALGA
sub-A00074114,ses-VA_ALG,ses-ALGA
sub-A00074425,ses-VA,ses-NFBA
sub-A00074427,ses-VA,ses-CLGA
sub-A00074439,ses-VA_ALG,ses-ALGA
sub-A00074641,ses-VA_ALG,ses-ALGA
sub-A00074768,ses-VA_ALG,ses-ALGA
sub-A00074794,ses-VA_ALG,ses-ALGA
sub-A00074800,ses-VA_ALG,ses-ALGA
sub-A00074808,ses-VA_ALG,ses-ALGA
sub-A00074959,ses-VA_ALG,ses-ALGA
sub-A00074969,ses-VA_ALG,ses-ALGA
sub-A00074977,ses-VA_ALG,ses-ALGA
sub-A00074985,ses-VA_ALG,ses-ALGA
sub-A00075151,ses-VA,ses-CLGA
sub-A00075156,ses-VA,ses-NFBA
sub-A00075193,ses-VA,ses-DSA
sub-A00075229,ses-VA_ALG,ses-ALGA
sub-A00075267,ses-VA_ALG,ses-ALGA
sub-A00075269,ses-VA_ALG,ses-ALGA
sub-A00075369,ses-VA_ALG,ses-ALGA
sub-A00075372,ses-VA,ses-CLGA
sub-A00075377,ses-VA,ses-CLGA
sub-A00075407,ses-VA_ALG,ses-ALGA
sub-A00075412,ses-VA,ses-NFBA
sub-A00075432,ses-VA,ses-DSA
sub-A00075651,ses-VA_ALG,ses-ALGA
